abandon v.   AAA/ə'bændən /   BBB bỏ, từ bỏ
late adj., adv.   AAA/leit /   BBB trễ, muộn
later adv., adj.   AAA/leɪtə  /   BBB chậm hơn
latest adj., n.   AAA/leitist /   BBB muộn nhất, chậm nhất, gần đây nhất
latter adj., n.   AAA/´lætə /   BBB sau cùng, gần đây, mới đây
laugh v., n.   AAA/lɑ:f /   BBB cười; tiếng cười
launch v., n.   AAA/lɔ:ntʃ /   BBB hạ thủy ; khai trương; sự hạ thủy, buổi giới thiệu sản phầm
law n.   AAA/lo: /   BBB luật
lawyer n.   AAA/ˈlɔyər , ˈlɔɪər /   BBB luật sư
lay v.   AAA/lei /   BBB xếp, đặt, bố trí
layer n.   AAA/'leiə /   BBB lớp
lazy adj.   AAA/'leizi /   BBB lười biếng
lead   AAA/li:d /   BBB v., n. lãnh đạo, dẫn dắt; sự lãnh đạo, sự hướng dẫn
leading adj.   AAA/´li:diη /   BBB lãnh đạo, dẫn đầu
leader n.   AAA/´li:də /   BBB người lãnh đạo, lãnh tụ
leaf n.   AAA/li:f /   BBB lá cây, lá 
league n.   AAA/li:g /   BBB liên minh, liên hoàn
lean v.   AAA/li:n /   BBB nghiêng, dựa, ỷ vào
learn v.    AAA/   BBB lə:n / BBB học, nghiên cứu
least det., pron., adv.   AAA/li:st /   BBB tối thiểu; ít nhất
leather n.   AAA/'leðə /   BBB da thuộc
leave v.   AAA/li:v /   BBB bỏ đi, rời đi, để lại
lecture n.   AAA/'lekt∫ә  /   BBB bài diễn thuyết, bài thuyết trình, bài nói chuyện
left adj., adv., n.   AAA/left /   BBB bên trái; về phía trái
leg n.   AAA/´leg /   BBB chân 
legal adj.   AAA/ˈligəl /   BBB hợp pháp
legally adv.   AAA/'li:gзlizm /   BBB hợp pháp
lemon n.   AAA/´lemən /   BBB quả chanh
lend v.   AAA/lend /   BBB cho vay, cho mượn
length n.   AAA/leɳθ /   BBB chiều dài, độ dài
less det., pron., adv.   AAA/les /   BBB nhỏ bé, ít hơn; số lượng ít hơn
lesson n.   AAA/'lesn /   BBB bài học
let v.   AAA/lεt /   BBB cho phép, để cho
letter n.   AAA/'letə /   BBB thư; chữ cái, mẫu tự
level n., adj.   AAA/'levl /   BBB trình độ, cấp, vị trí; bằng, ngang bằng
library n.   AAA/'laibrəri /   BBB thư viện
licence  n.   AAA/ˈlaɪsəns /   BBB bằng, chứng chỉ, bằng cử nhân; sự cho phép
license v.   AAA/'laisзns /   BBB cấp chứng chỉ, cấp bằng, cho phép
lid n.   AAA/lid /   BBB nắp, vung ; mi mắt 
lie v., n.   AAA/lai /   BBB nói dối; lời nói dối, sự dối trá
life n.   AAA/laif /   BBB đời, sự sống
lift v., n.   AAA/lift /   BBB giơ lên, nhấc lên; sự nâng, sự nhấc lên
light n., adj., v.   AAA/lait /   BBB ánh sáng; nhẹ, nhẹ nhàng; đốt, thắp sáng
lightly adv.   AAA/´laitli /   BBB nhẹ nhàng
like prep., v., conj.   AAA/laik /   BBB giống như; thích; như
unlike prep., adj.   AAA/ʌn´laik /   BBB khác, không giống
likely adj., adv.   AAA/´laikli /   BBB có thể đúng, có thể xảy ra, có khả năng; có thể, chắc vậy
unlikely adj.   AAA/ʌnˈlaɪkli /   BBB không thể xảy ra, không chắc xảy ra
limit n., v.   AAA/'limit /   BBB giới hạn, ranh giới; giới hạn, hạn chế
limited adj.   AAA/ˈlɪmɪtɪd /   BBB hạn chế, có giới hạn
line n.   AAA/lain /   BBB dây, đường, tuyến
link n., v.   AAA/lɪɳk /   BBB mắt xích, mối liên lạc; liên kết, kết nối
lip n.   AAA/lip /   BBB môi
liquid n., adj.   AAA/'likwid /   BBB chất lỏng; lỏng, êm ái, du dương, không vững
list n., v.   AAA/list /   BBB danh sách; ghi vào danh sách
listen v.   AAA/'lisn /   BBB nghe, lắng nghe
literature n.   AAA/ˈlɪtərətʃər /   BBB văn chương, văn học
litre  n. (abbr. l)   AAA/´li:tə /   BBB lít
little adj., det., pron., adv.   AAA/'lit l /   BBB nhỏ, bé, chút ít; không nhiều; một chút
live adj., adv.   AAA/liv /   BBB sống, hoạt động
live v.   AAA/liv /   BBB sống
living adj.   AAA/'liviŋ /   BBB sống, đang sống
lively adj.   AAA/'laivli /   BBB sống, sinh động
load n., v.   AAA/loud /   BBB gánh nặng, vật nặng; chất, chở
unload v.   AAA/ʌn´loud /   BBB cất gánh nặng, dỡ hàng
loan n.   AAA/ləʊn /   BBB sự vay mượn
local adj.   AAA/'ləʊk l /   BBB địa phương, bộ phận, cục bộ
locally adv.   AAA/ˈloʊkəli /   BBB có tính chất địa phương, cục bộ
locate v.   AAA/loʊˈkeɪt /   BBB xác định vị trí, định vị
located adj.   AAA/loʊˈkeɪtid /   BBB định vị
location n.   AAA/louk´eiʃən /   BBB vị trí, sự định vị
lock v., n.   AAA/lɔk /   BBB khóa; khóa
logic n.   AAA/'lɔdʤik /   BBB lô gic
logical adj.   AAA/'lɔdʤikəl /   BBB hợp lý, hợp logic
lonely adj.   AAA/´lounli /   BBB cô đơn, bơ vơ
long adj., adv.   AAA/lɔɳ /   BBB dài, xa; lâu
look v., n.   AAA/luk /   BBB nhìn; cái nhìn
loose adj.   AAA/lu:s /   BBB lỏng, không chặt
loosely adv.   AAA/´lu:sli /   BBB lỏng lẻo
lord n.   AAA/lɔrd /   BBB chúa, vua
lorry n.   AAA/´lɔ:ri /   BBB xe tải
lose v.   AAA/lu:z /   BBB mất, thua, lạc
lost adj.   AAA/lost /   BBB thua, mất
loss n.   AAA/lɔs , lɒs /   BBB sự mất, sự thua
lot: a lot ) pron., det., adv.   AAA/lɒt /   BBB số lượng lớn; rất nhiều
loud adj., adv.   AAA/laud /   BBB to, inh ỏi, ầm ĩ; to, lớn 
loudly adv.   AAA/'laudili /   BBB ầm ĩ, inh ỏi
love n., v.   AAA/lʌv /   BBB tình yêu, lòng yêu thương; yêu, thích
lovely adj.   AAA/ˈlʌvli /   BBB đẹp, xinh xắn, có duyên
lover n.   AAA/´lʌvə /   BBB người yêu, người tình
low adj., adv.   AAA/lou /   BBB thấp, bé, lùn
loyal adj.   AAA/'lɔiəl /   BBB trung thành, trung kiên
luck n.   AAA/lʌk /   BBB may mắn, vận may
lucky adj.   AAA/'lʌki /   BBB gặp may, gặp may mắn, hạnh phúc
unlucky adj.   AAA/ʌn´lʌki /   BBB không gặp may, bất hạnh
luggage n.   AAA/'lʌgiʤ /   BBB hành lý
lump n.   AAA/lΛmp /   BBB cục, tảng, miếng; cái bướu
lunch n.   AAA/lʌntʃ /   BBB bữa ăn trưa
lung n.   AAA/lʌη /   BBB phổi
machine n.   AAA/mə'ʃi:n /   BBB máy, máy móc
machinery n.   AAA/mə'ʃi:nəri /   BBB máy móc, thiết bị
mad adj.   AAA/mæd /   BBB điên, mất trí; bực điên người
magazine n.   AAA/,mægə'zi:n /   BBB tạp chí
magic n., adj.   AAA/'mæʤik /   BBB ma thuật, ảo thuật; ma thuật, ảo thuật
mail n., v.   AAA/meil /   BBB thư từ, bưu kiện; gửi qua bưu điện
main adj.   AAA/mein /   BBB chính, chủ yếu, trọng yếu nhất
mainly adv.   AAA/´meinli /   BBB chính, chủ yếu, phần lớn
maintain v.   AAA/mein´tein /   BBB giữ gìn, duy trì, bảo vệ
major adj.   AAA/ˈmeɪdʒər /   BBB lớn, nhiều hơn, trọng đại, chủ yếu
majority n.   AAA/mə'dʒɔriti /   BBB phần lớn, đa số, ưu thế
make v., n.   AAA/meik /   BBB làm, chế tạo; sự chế tạo
make-up n.   AAA/´meik¸ʌp /   BBB đồ hóa trang, son phấn
male adj., n.   AAA/meil /   BBB trai, trống, đực; con trai, đàn ông, con trống, đực
mall n.   AAA/mɔ:l /   BBB búa
man n.   AAA/mæn /   BBB con người; đàn ông
manage v.   AAA/'mæniʤ /   BBB quản lý, trông nom, điều khiển
management n.   AAA/'mænidʒmənt /   BBB sự quản lý, sự trông nom, sự điều khiển
manager n.   AAA/ˈmænɪdʒər /   BBB người quản lý, giám đốc
manner n.   AAA/'mænз /   BBB cách, lối, kiểu; dáng, vẻ, thái độ
manufacturing n.   AAA/¸mænju´fæktʃəriη /   BBB sự sản xuất, sự chế tạo
manufacturer n.   AAA/¸mæni´fæktʃərə /   BBB người chế tạo, người sản xuất
many det., pron.   AAA/'meni /   BBB nhiều
map n.   AAA/mæp /   BBB bản đồ
march n.   AAA/mɑ:tʃ /   BBB tháng ba
mark n., v.   AAA/mɑ:k /   BBB dấu, nhãn, nhãn mác; đánh dấu, ghi dấu
market n.   AAA/'mɑ:kit /   BBB chợ, thị trường
marketing n.   AAA/'mα:kitiη /   BBB ma-kết-tinh
marriage n.   AAA/ˈmærɪdʒ /   BBB sự cưới xin, sự kết hôn, lễ cưới
marry v.   AAA/'mæri /   BBB cưới , lấy 
married adj.   AAA/´mærid /   BBB cưới, kết hôn
mass n., adj.   AAA/mæs /   BBB khối, khối lượng; quần chúng, đại chúng
massive adj.   AAA/'mæsiv /   BBB to lớn, đồ sộ
master n.   AAA/'mɑ:stə /   BBB chủ, chủ nhân, thầy giáo, thạc sĩ
match n., v.   AAA/mætʃ /   BBB trận thi đấu, đối thủ, địch thủ; đối chọi, sánh được
matching adj.   AAA/´mætʃiη /   BBB tính địch thù, thi đấu
mate n., v.   AAA/meit /   BBB bạn, bạn nghề; giao phối
material n., adj.   AAA/mə´tiəriəl /   BBB nguyên vật liệu; vật chất, hữu hình
mathematics n.   AAA/,mæθi'mætiks /   BBB toán học, môn toán
matter n., v.   AAA/'mætə /   BBB chất, vật chất; có ý nghĩa, có tính chất quan trọng
maximum adj., n.   AAA/´mæksiməm /   BBB cực độ, tối đa; trị số cực đại, lượng cực đại, cực độ
may modal v.   AAA/mei /   BBB có thể, có lẽ
may n.   AAA/mei /   BBB tháng 5
maybe adv.   AAA/´mei¸bi: /   BBB có thể, có lẽ
mayor n.   AAA/mɛə /   BBB thị trưởng
me pron.   AAA/mi: /   BBB tôi, tao, tớ
meal n.   AAA/mi:l /   BBB bữa ăn
mean v.   AAA/mi:n /   BBB nghĩa, có nghĩa là
meaning n.   AAA/'mi:niɳ /   BBB ý, ý nghĩa
means n.   AAA/mi:nz /   BBB của cải, tài sản, phương tiện
meanwhile adv.   AAA/miːn.waɪl /   BBB trong lúc đó, trong lúc ấy
measure v., n.   AAA/'meʤə /   BBB đo, đo lường; sự đo lường, đơn vị đo lường
measurement n.   AAA/'məʤəmənt /   BBB sự đo lường, phép đo
meat n.   AAA/mi:t /   BBB thịt
media n.   AAA/´mi:diə /   BBB phương tiện truyền thông đại chúng
medical adj.   AAA/'medikə /   BBB y học
medicine n.   AAA/'medisn /   BBB y học, y khoa; thuốc
medium adj., n.   AAA/'mi:djəm /   BBB trung bình, trung, vừa; sự trung gian, sự môi giới
meet v.   AAA/mi:t /   BBB gặp, gặp gỡ
meeting n.   AAA/'mi:tiɳ /   BBB cuộc mít tinh, cuộc biểu tình
melt v.   AAA/mɛlt /   BBB tan ra, chảy ra; làm tan chảy ra
member n.   AAA/'membə /   BBB thành viên, hội viên
membership n.   AAA/'membəʃip /   BBB tư cách hội viên, địa vị hội viên
memory n.   AAA/'meməri /   BBB bộ nhớ, trí nhớ, kỉ niệm
mental adj.   AAA/'mentl /   BBB trí tuệ, trí óc; mất trí
mentally adv.   AAA/´mentəli /   BBB về mặt tinh thần
mention v.   AAA/'menʃn /   BBB kể ra, nói đến, đề cập
menu n.   AAA/'menju /   BBB thực đơn
mere adj.   AAA/miə /   BBB chỉ là
merely adv.   AAA/'miәli /   BBB chỉ, đơn thuần
mess n.   AAA/mes /   BBB tình trạng bừa bộn, tình trạng lộn xộn; người nhếch nhác, bẩn thỉu
message n.   AAA/ˈmɛsɪdʒ /   BBB tin nhắn, thư tín, điện thông báo, thông điệp
metal n.   AAA/'metl /   BBB kim loại
method n.   AAA/'meθəd /   BBB phương pháp, cách thức
metre  n.   AAA/´mi:tə /   BBB mét
midday n.   AAA/´mid´dei /   BBB trưa, buổi trưa
middle n., adj.   AAA/'midl /   BBB giữa, ở giữa
midnight n.   AAA/'midnait /   BBB nửa đêm, 12h đêm
might modal v.   AAA/mait /   BBB qk. may có thể, có lẽ
mild adj.   AAA/maɪld /   BBB nhẹ, êm dịu, ôn hòa
mile n.   AAA/mail /   BBB dặm 
military adj.   AAA/'militəri /   BBB quân đội, quân sự
milk n.   AAA/milk /   BBB sữa
milligram n.    AAA/´mili¸græm /   BBB mi-li-gam
millimetre n.    AAA/´mili¸mi:tə /   BBB mi-li-met
mind n., v.   AAA/maid /   BBB tâm trí, tinh thần, trí tuệ; chú ý, để ý, chăm sóc, quan tâm
mineral n., adj.   AAA/ˈmɪnərəl , ˈmɪnrəl /   BBB công nhân, thợ mỏ; khoáng
minimum adj., n.   AAA/'miniməm /   BBB tối thiểu; số lượng tối thiểu, mức tối thiểu
minister n.   AAA/´ministə /   BBB bộ trưởng
ministry n.   AAA/´ministri /   BBB bộ
minor adj.   AAA/´mainə /   BBB nhỏ hơn, thứ yếu, không quan trọng
minority n.   AAA/mai´nɔriti /   BBB phần ít, thiểu số
minute n.   AAA/'minit /   BBB phút
mirror n.   AAA/ˈmɪrər /   BBB gương
miss v., n.   AAA/mis /   BBB lỡ, trượt; sự trượt, sự thiếu vắng
miss n.   AAA/mis /   BBB cô gái, thiếu nữ
missing adj.   AAA/´misiη /   BBB vắng, thiếu, thất lạc
mistake n., v.   AAA/mis'teik /   BBB lỗi, sai lầm, lỗi lầm; phạm lỗi, phạm sai lầm
mistaken adj.   AAA/mis´teiken /   BBB sai lầm, hiểu lầm
mix v., n.   AAA/miks /   BBB pha, trộn lẫn; sự pha trộn
mixed adj.   AAA/mikst /   BBB lẫn lộn, pha trộn
mixture n.   AAA/ˈmɪkstʃər /   BBB sự pha trộn, sự hỗn hợp
mobile adj.   AAA/'məʊbail; 'məʊbi:l /   BBB chuyển động, di động
model n.   AAA/ˈmɒdl /   BBB mẫu, kiểu mẫu
modern adj.   AAA/'mɔdən /   BBB hiện đại, tân tiến
mum n.   AAA/mʌm /   BBB mẹ
moment n.   AAA/'məum nt /   BBB chốc, lát
monday n.   AAA/'mʌndi /   BBB thứ 2
money n.   AAA/'mʌni /   BBB tiền
monitor n., v.   AAA/'mɔnitə /   BBB lớp trưởng, màn hình máy tính; nghe, ghi phát thanh, giám sát
month n.   AAA/mʌnθ /   BBB tháng
mood n.   AAA/mu:d /   BBB lối, thức, điệu
moon n.   AAA/mu:n /   BBB mặt trăng
moral adj.   AAA/ˈmɔrəl , ˈmɒrəl /   BBB đạo đức, luân lý, phẩm hạnh; có đạo đức
more det., pron., adv.   AAA/mɔ: /   BBB hơn, nhiều hơn
moreover adv.   AAA/mɔ:´rouvə /   BBB hơn nữa, ngoài ra, vả lại
morning n.   AAA/'mɔ:niɳ /   BBB buổi sáng
most det., pron., adv.   AAA/moust /   BBB lớn nhất, nhiều nhất; nhất, hơn cả
mostly adv.   AAA/´moustli /   BBB hầu hết, chủ yếu là
mother n.   AAA/'mΔðз /   BBB mẹ
motion n.   AAA/´mouʃən /   BBB sự chuyển động, sụ di động
motor n.   AAA/´moutə /   BBB động cơ mô tô
motorcycle n.   AAA/'moutə,saikl /   BBB xe mô tô
mount v., n.   AAA/maunt /   BBB leo, trèo; núi
mountain n.   AAA/ˈmaʊntən /   BBB núi
mouse n.   AAA/maus - mauz /   BBB chuột
mouth n.   AAA/mauθ - mauð /   BBB miệng
move v., n.   AAA/mu:v /   BBB di chuyển, chuyển động; sự di chuyển, sự chuyển động
moving adj.   AAA/'mu:viɳ /   BBB động, hoạt động
movement n.   AAA/'mu:vmənt /   BBB sự chuyển động, sự hoạt động; cử động, động tác
movie n.   AAA/´mu:vi /   BBB phim xi nê
much det., pron., adv.   AAA/mʌtʃ /   BBB nhiều, lắm
mud n.   AAA/mʌd /   BBB bùn
multiply v.   AAA/'mʌltiplai /   BBB nhân lên, làm tăng lên nhiều lần; sinh sôi nảy nở
mum  n.   AAA/mʌm /   BBB mẹ
murder n., v.   AAA/'mə:də /   BBB tội giết người, tội ám sát; giết người, ám sát
muscle n.   AAA/'mʌsl /   BBB cơ, bắp thịt
museum n.   AAA/mju:´ziəm /   BBB bảo tàng
music n.   AAA/'mju:zik /   BBB nhạc, âm nhạc
musical adj.   AAA/ˈmyuzɪkəl /   BBB nhạc, âm nhạc; du dương, êm ái
musician n.   AAA/mju:'ziʃn /   BBB nhạc sĩ
must modal v.   AAA/mʌst /   BBB phải, cần, nên làm
my det.   AAA/mai /   BBB của tôi
myself pron.   AAA/mai'self /   BBB tự tôi, chính tôi
mysterious adj.   AAA/mis'tiəriəs /   BBB thần bí, huyền bí, khó hiểu
mystery n.   AAA/'mistəri /   BBB điều huyền bí, điều thần bí
nail n.   AAA/neil /   BBB móng móng vuốt
naked adj.   AAA/'neikid /   BBB trần, khỏa thân, trơ trụi
name n., v.   AAA/neim /   BBB tên; đặt tên, gọi tên
narrow adj.   AAA/'nærou /   BBB hẹp, chật hẹp
nation n.   AAA/'nei∫n /   BBB dân tộc, quốc gia
national adj.   AAA/'næʃən l /   BBB  quốc gia, dân tộc
natural adj.   AAA/'nætʃrəl /   BBB tự nhiên, thiên nhiên
naturally adv.   AAA/'næt∫rəli /   BBB vốn, tự nhiên, đương nhiên
nature n.   AAA/'neitʃə /   BBB tự nhiên, thiên nhiên
navy n.   AAA/'neivi /   BBB hải quân
near adj., adv., prep.   AAA/niə /   BBB gần, cận; ở gần
nearby adj., adv.   AAA/´niə¸bai /   BBB gần
nearly adv.   AAA/´niəli /   BBB gần, sắp, suýt
neat adj.   AAA/ni:t /   BBB sạch, ngăn nắp; rành mạch
neatly adv.   AAA/ni:tli /   BBB gọn gàng, ngăn nắp
necessary adj.   AAA/'nesəseri /   BBB cần, cần thiết, thiết yếu
necessarily adv.   AAA/´nesisərili /   BBB tất yếu, nhất thiết
unnecessary adj.   AAA/ʌn'nesisəri /   BBB không cần thiết, không mong muốn
neck n.   AAA/nek /   BBB cổ
need v., modal v., n.   AAA/ni:d /   BBB cần, đòi hỏi; sự cần
needle n.   AAA/´ni:dl /   BBB cái kim, mũi nhọn
negative adj.   AAA/´negətiv /   BBB phủ định
neighbour  n.   AAA/'neibə /   BBB hàng xóm
neighbourhood  n.   AAA/´neibəhud /   BBB hàng xóm, làng giềng
neither det., pron., adv.   AAA/'naiðə /   BBB không này mà cũng không kia
nephew n.   AAA/´nevju: /   BBB cháu trai 
nerve n.   AAA/nɜrv /   BBB khí lực, thần kinh, can đảm
nervous adj.   AAA/ˈnɜrvəs /   BBB hoảng sợ, dễ bị kích thích, hay lo lắng
nervously adv.   AAA/'nз:vзstli /   BBB bồn chồn, lo lắng
nest n., v.   AAA/nest /   BBB tổ, ổ; làm tổ
net n.   AAA/net /   BBB lưới, mạng
network n.   AAA/'netwə:k /   BBB mạng lưới, hệ thống
never adv.   AAA/'nevə /   BBB không bao giờ, không khi nào
nevertheless adv.   AAA/,nevəðə'les /   BBB tuy nhiên, tuy thế mà
new adj.   AAA/nju: /   BBB mới, mới mẻ, mới lạ
newly adv.   AAA/´nju:li /   BBB mới
news n.   AAA/nju:z /   BBB tin, tin tức
newspaper n.   AAA/'nju:zpeipə /   BBB báo
next adj., adv., n.   AAA/nekst /   BBB sát, gần, bên cạnh; lần sau, tiếp nữa
nice adj.   AAA/nais /   BBB đẹp, thú vị, dễ chịu
nicely adv.   AAA/´naisli /   BBB thú vị, dễ chịu
niece n.   AAA/ni:s /   BBB cháu gái
night n.   AAA/nait /   BBB đêm, tối
no exclamation, det.   AAA/nou /   BBB không
nobody pron.   AAA/'noubədi /   BBB không ai, không người nào
noise n.   AAA/nɔiz /   BBB tiếng ồn, sự huyên náo
noisy adj.   AAA/´nɔizi /   BBB ồn ào, huyên náo
noisily adv.   AAA/´nɔizili /   BBB ồn ào, huyên náo
none pron.   AAA/nʌn /   BBB không ai, không người, vật gì
nonsense n.   AAA/´nɔnsəns /   BBB lời nói vô lý, vô nghĩa
nor conj., adv.   AAA/no: /   BBB cũng không
normal adj., n.   AAA/'nɔ:məl /   BBB thường, bình thường; tình trạng bình thường
normally adv.   AAA/'no:mзli /   BBB thông thường, như thường lệ
north n., adj., adv.   AAA/nɔ:θ /   BBB phía bắc, phương bắc
northern adj.   AAA/'nɔ:ðən /   BBB bắc
nose n.   AAA/nouz /   BBB mũi
not adv.   AAA/nɔt /   BBB không
note n., v.   AAA/nout /   BBB lời ghi, lời ghi chép; ghi chú, ghi chép
nothing pron.   AAA/ˈnʌθɪŋ /   BBB không gì, không cái gì
notice n., v.   AAA/'nәƱtis /   BBB thông báo, yết thị; chú ý, để ý, nhận biết
noticeable adj.   AAA/ˈnoʊtɪsəbəl /   BBB đáng chú ý, đáng để ý
novel n.   AAA/ˈnɒvəl /   BBB tiểu thuyết, truyện
November n.   AAA/nou´vembə /   BBB tháng 11
now adv.   AAA/nau /   BBB bây giờ, hiện giờ, hiện nay
nowhere adv.   AAA/´nou¸wɛə /   BBB không nơi nào, không ở đâu
nuclear adj.   AAA/'nju:kliз /   BBB hạt nhân
number n.   AAA/´nʌmbə /   BBB số
nurse n.   AAA/nə:s /   BBB y tá
nut n.   AAA/nʌt /   BBB quả hạch; đầu
obey v.   AAA/o'bei /   BBB vâng lời, tuân theo, tuân lệnh
object n., v.   AAA/n. ˈɒbdʒɪkt, ˈɒbdʒɛkt ; v. əbˈdʒɛkt /   BBB vật, vật thể; phản đối, chống lại
objective n., adj.   AAA/əb´dʒektiv /   BBB mục tiêu, mục đích; mục tiêu, khách quan
observation n.   AAA/obzә:'vei∫ n /   BBB sự quan sát, sự theo dõi
observe v.   AAA/əbˈzə:v /   BBB quan sát, theo dõi
obtain v.   AAA/əb'tein /   BBB đạt được, giành được
obvious adj.   AAA/'ɒbviəs /   BBB rõ ràng, rành mạch, hiển nhiên
obviously adv.   AAA/'ɔbviəsli /   BBB một cách rõ ràng, có thể thấy được
occasion n.   AAA/əˈkeɪʒən /   BBB dịp, cơ hội
occasionally adv.   AAA/з'keiЗnзli /   BBB thỉnh thoảng, đôi khi
occupy v.   AAA/'ɔkjupai /   BBB giữ, chiếm lĩnh, chiếm giữ
occupied adj.   AAA/'ɔkjupaid /   BBB đang sử dụng, đầy 
occur v.   AAA/ə'kə: /   BBB xảy ra, xảy đến, xuất hiện
ocean n.   AAA/'əuʃ n /   BBB đại dương
o’clock adv.   AAA/klɔk /   BBB đúng giờ
October n.   AAA/ɔk´toubə /   BBB tháng 10
odd adj.   AAA/ɔd /   BBB kỳ quặc, kỳ cục, lẻ 
oddly adv.   AAA/´ɔdli /   BBB kỳ quặc, kỳ cục, lẻ 
of prep.   AAA/ɔv /   BBB or /əv / BBB của
off adv., prep.   AAA/ɔ:f /   BBB tắt; khỏi, cách, rời
offence  n.   AAA/ə'fens /   BBB sự vi phạm, sự phạm tội
offend v.   AAA/ə´fend /   BBB xúc phạm, làm bực mình, làm khó chịu
offensive adj.   AAA/ə´fensiv /   BBB sự tấn công, cuộc tấn công
offer v., n.   AAA/´ɔfə /   BBB biếu, tặng, cho; sự trả giá
office n.   AAA/'ɔfis /   BBB cơ quan, văn phòng, bộ
officer n.   AAA/´ɔfisə /   BBB viên chức, cảnh sát, sĩ quan
official adj., n.   AAA/ə'fiʃəl /   BBB chính quyền, văn phòng; viên chức, công chức
officially adv.   AAA/ə'fi∫əli /   BBB một cách trịnh trọng, một cách chính thức
often adv.   AAA/'ɔ:fn /   BBB thường, hay, luôn
oh exclamation   AAA/ou /   BBB chao, ôi chao, chà, này..
oil n.   AAA/ɔɪl /   BBB dầu
Ok exclamation, adj., adv.   AAA/əʊkei /   BBB đồng ý, tán thành
old adj.   AAA/ould /   BBB già
on prep., adv.   AAA/on /   BBB trên, ở trên; tiếp tục, tiếp diễn
once adv., conj.   AAA/wʌns /   BBB một lần; khi mà, ngay khi, một khi
one number, det., pron.   AAA/wʌn /   BBB một; một người, một vật nào đó
onion n.   AAA/ˈʌnjən /   BBB củ hành
only adj., adv.   AAA/'ounli /   BBB chỉ có 1, duy nhất; chỉ, mới
onto prep.   AAA/´ɔntu /   BBB về phía trên, lên trên
open adj., v.   AAA/'oupən /   BBB mở, ngỏ; mở, bắt đầu, khai mạc
openly adv.   AAA/´oupənli /   BBB công khai, thẳng thắn
opening n.   AAA/´oupniη /   BBB khe hở, lỗ; sự bắt đầu, sự khai mạc, lễ khánh thành
operate v.   AAA/'ɔpəreit /   BBB hoạt động, điều khiển
operation n.   AAA/,ɔpə'reiʃn /   BBB sự hoạt động, quá trình hoạt động
opinion n.   AAA/ə'pinjən /   BBB ý kiến, quan điểm
opponent n.   AAA/əpəʊ.nənt /   BBB địch thủ, đối thủ, kẻ thù
opportunity n.   AAA/ˌɒpərˈtunɪti , ˌɒpərˈtyunɪti /   BBB cơ hội, thời cơ
oppose v.   AAA/əˈpoʊz /   BBB đối kháng, đối chọi, đối lập; chống đối, phản đối
opposing adj.   AAA/з'pouziη /   BBB tính đối kháng, đối chọi
opposite adj., adv., n., prep.   AAA/'ɔpəzit /   BBB đối nhau, ngược nhau; trước mặt, đối diện; điều trái ngược
opposition n.   AAA/¸ɔpə´ziʃən /   BBB sự đối lập, sự đối nhau; sự chống lại, sự phản đối; phe đối lập
option n.   AAA/'ɔpʃn /   BBB sự lựa chọn
orange n., adj.   AAA/ɒrɪndʒ /   BBB quả cam; có màu da cam
order n., v.   AAA/'ɔ:də /   BBB thứ, bậc; ra lệnh
ordinary adj.   AAA/'o:dinәri /   BBB thường, thông thường
organ n.   AAA/'ɔ:gən /   BBB đàn óoc gan
organization n.   AAA/,ɔ:gənai'zeiʃn /   BBB tổ chức, cơ quan; sự tổ chức
organize v.   AAA/´ɔ:gə¸naiz /   BBB tổ chức, thiết lập
organized adj.   AAA/'o:gзnaizd /   BBB có trật tự, ngăn nắp, được sắp xếp, được tổ chức
origin n.   AAA/'ɔridӡin /   BBB gốc, nguồn gốc, căn nguyên
original adj., n.   AAA/ə'ridʒənl /   BBB gốc, nguồn gốc, căn nguyên; nguyên bản
originally adv.   AAA/ə'ridʒnəli /   BBB một cách sáng tạo, mới mẻ, độc đáo; khởi đầu, đầu tiên
other adj., pron.   AAA/ˈʌðər /   BBB khác
otherwise adv.   AAA/´ʌðə¸waiz /   BBB khác, cách khác; nếu không thì...; mặt khác
ought to modal v.   AAA/ɔ:t /   BBB phải, nên, hẳn là
our det.   AAA/auə /   BBB của chúng ta, thuộc chúng ta, của chúng tôi, của chúng mình
ours pron.   AAA/auəz /   BBB của chúng ta, thuộc chúng ta, của chúng tôi, của chúng mình
ourselves pron.   AAA/´awə´selvz /   BBB bản thân chúng ta, bản thân chúng tôi, bản thân chúng mình; tự chúng mình
out adv., prep.   AAA/aut /   BBB ngoài, ở ngoài, ra ngoài
outdoors adv.   AAA/¸aut´dɔ:z /   BBB ở ngoài trời, ở ngoài nhà
outdoor adj.   AAA/'autdɔ: /   BBB ngoài trời, ở ngoài
outline v., n.   AAA/´aut¸lain /   BBB vẽ, phác tảo; đường nét, hình dáng, nét ngoài
output n.   AAA/'autput /   BBB sự sản xuất; sản phẩm, sản lượng
outside n., adj., prep., adv.   AAA/'aut'said /   BBB bề ngoài, bên ngoài; ở ngoài; ngoài
outstanding adj.   AAA/¸aut´stændiη /   BBB nổi bật, đáng chú ý; còn tồn lại
oven n.   AAA/ʌvn /   BBB lò 
over adv., prep.   AAA/'ouvə /   BBB bên trên, vượt qua; lên, lên trên
overall adj., adv.   AAA/adv. ˈoʊvərˈɔl ; adj. ˈoʊvərˌɔl /   BBB toàn bộ, toàn thể; tất cả, bao gồm
overcome v.   AAA/ˌoʊvərˈkʌm /   BBB thắng, chiến thắng, khắc phục, đánh bại 
